LocationID,Location,City
1,Newark Airport,"Newark, New Jersey"
2,Jamaica Bay,Queens
3,Allerton/Pelham Gardens,The Bronx
4,Alphabet City,Manhattan
5,Arden Heights,Staten Island
6,Arrochar/Fort Wadsworth,Staten Island
7,Astoria,Queens
8,Astoria Park,Queens
9,Auburndale,Queens
10,Baisley Park,Queens
11,Bath Beach,Brooklyn
12,Battery Park,Manhattan
13,Battery Park City,Manhattan
14,Bay Ridge,Brooklyn
15,Bay Terrace/Fort Totten,Queens
16,Bayside,Queens
17,Bedford,Brooklyn
18,Bedford Park,The Bronx
19,Bellerose,Queens
20,Belmont,The Bronx
21,Bensonhurst East,Brooklyn
22,Bensonhurst West,Brooklyn
23,Bloomfield/Emerson Hill,Staten Island
24,Bloomingdale,Manhattan
25,Boerum Hill,Brooklyn
26,Borough Park,Brooklyn
27,Breezy Point/Fort Tilden/Riis Beach,Queens
28,Briarwood/Jamaica Hills,Queens
29,Brighton Beach,Brooklyn
30,Broad Channel,Queens
31,Bronx Park,The Bronx
32,Bronxdale,The Bronx
33,Brooklyn Heights,Brooklyn
34,Brooklyn Navy Yard,Brooklyn
35,Brownsville,Brooklyn
36,Bushwick North,Brooklyn
37,Bushwick South,Brooklyn
38,Cambria Heights,Queens
39,Canarsie,Brooklyn
40,Carroll Gardens,Brooklyn
41,Central Harlem,Manhattan
42,Central Harlem North,Manhattan
43,Central Park,Manhattan
44,Charleston/Tottenville,Staten Island
45,Chinatown,Manhattan
46,City Island,The Bronx
47,Claremont/Bathgate,The Bronx
48,Clinton East,Manhattan
49,Clinton Hill,Brooklyn
50,Clinton West,Manhattan
51,Co-Op City,The Bronx
52,Cobble Hill,Brooklyn
53,College Point,Queens
54,Columbia Street,Brooklyn
55,Coney Island,Brooklyn
56,Corona,Queens
57,Corona,The Bronx
58,Country Club,The Bronx
59,Crotona Park,The Bronx
60,Crotona Park East,Brooklyn
61,Crown Heights North,Brooklyn
62,Crown Heights South,Brooklyn
63,Cypress Hills,Queens
64,Douglaston,Brooklyn
65,Downtown Brooklyn/MetroTech,Brooklyn
66,DUMBO/Vinegar Hill,Brooklyn
67,Dyker Heights,Manhattan
68,East Chelsea,The Bronx
69,East Concourse/Concourse Village,Queens
70,East Elmhurst,Brooklyn
71,East Flatbush/Farragut,Brooklyn
72,East Flatbush/Remsen Village,Queens
73,East Flushing,Manhattan
74,East Harlem North,Manhattan
75,East Harlem South,Brooklyn
76,East New York,Brooklyn
77,East New York/Pennsylvania Avenue,The Bronx
78,East Tremont,Manhattan
79,East Village,Brooklyn
80,East Williamsburg,The Bronx
81,Eastchester,Queens
82,Elmhurst,Queens
83,Elmhurst/Maspeth,Staten Island
84,Eltingville/Annadale/Prince's Bay,Brooklyn
85,Erasmus,Queens
86,Far Rockaway,Manhattan
87,Financial District North,Manhattan
88,Financial District South,Brooklyn
89,Flatbush/Ditmas Park,Manhattan
90,Flatiron,Brooklyn
91,Flatlands,Queens
92,Flushing,Queens
93,Flushing Meadows-Corona Park,The Bronx
94,Fordham South,Queens
95,Forest Hills,Queens
96,Forest Park/Highland Park,Brooklyn
97,Fort Greene,Queens
98,Fresh Meadows,Staten Island
99,Freshkills Park,Manhattan
100,Garment District,Queens
101,Glen Oaks,Queens
102,Glendale,Manhattan
103,Governor's Island/Ellis Island/Liberty Island,Brooklyn
104,Governor's Island/Ellis Island/Liberty Island,Manhattan
105,Governor's Island/Ellis Island/Liberty Island,Brooklyn
106,Gowanus,Staten Island
107,Gramercy,Brooklyn
108,Gravesend,Brooklyn
109,Great Kills,Manhattan
110,Great Kills Park,Manhattan
111,Green-Wood Cemetery,Staten Island
112,Greenpoint,Manhattan
113,Greenwich Village North,Queens
114,Greenwich Village South,Staten Island
115,Grymes Hill/Clifton,The Bronx
116,Hamilton Heights,Manhattan
117,Hammels/Arverne,Queens
118,Heartland Village/Todt Hill,Queens
119,Highbridge,Queens
120,Highbridge Park,The Bronx
121,Hillcrest/Pomonok,Manhattan
122,Hollis,Manhattan
123,Homecrest,Queens
124,Howard Beach,Queens
125,Hudson Sq,Queens
126,Hunts Point,Queens
127,Inwood,Brooklyn
128,Inwood Hill Park,Queens
129,Jackson Heights,Queens
130,Jamaica,The Bronx
131,Jamaica Estates,Manhattan
132,JFK Airport,Queens
133,Kensington,Queens
134,Kew Gardens,Manhattan
135,Kew Gardens Hills,Manhattan
136,Kingsbridge Heights,Manhattan
137,Kips Bay,Manhattan
138,LaGuardia Airport,Manhattan
139,Laurelton,Queens
140,Lenox Hill East,Queens
141,Lenox Hill West,Manhattan
142,Lincoln Square East,Manhattan
143,Lincoln Square West,Brooklyn
144,Little Italy/NoLiTa,Manhattan
145,Long Island City/Hunters Point,Manhattan
146,Long Island City/Queens Plaza,The Bronx
147,Longwood,Brooklyn
148,Lower East Side,Queens
149,Madison,Manhattan
150,Manhattan Beach,Manhattan
151,Manhattan Valley,Manhattan
152,Manhattanville,Manhattan
153,Marble Hill,Manhattan
154,Marine Park/Floyd Bennett Field,Brooklyn
155,Marine Park/Mill Basin,Manhattan
156,Mariners Harbor,The Bronx
157,Maspeth,Manhattan
158,Meatpacking/West Village West,Queens
159,Melrose South,Staten Island
160,Middle Village,Queens
161,Midtown Center,The Bronx
162,Midtown East,Queens
163,Midtown North,Brooklyn
164,Midtown South,Brooklyn
165,Midwood,Queens
166,Morningside Heights,Brooklyn
167,Morrisania/Melrose,The Bronx
168,Mott Haven/Port Morris,The Bronx
169,Mount Hope,Manhattan
170,Murray Hill,Queens
171,Murray Hill-Queens,Queens
172,New Dorp/Midland Beach,Queens
173,North Corona,Manhattan
174,Norwood,Brooklyn
175,Oakland Gardens,Queens
176,Oakwood,Queens
177,Ocean Hill,Queens
178,Ocean Parkway South,Queens
179,Old Astoria,Queens
180,Ozone Park,Manhattan
181,Park Slope,Queens
182,Parkchester,Bronx
183,Pelham Bay,Bronx
184,Pelham Bay Park,Bronx
185,Pelham Parkway,Bronx
186,Penn Station/Madison Sq West,Manhattan
187,Port Richmond,Staten Island
